"planet_name","difficulty","p_switch","do_switch","resp_type","keyTrial.keys","keyTrial.rt","too_slow_trial","trial_num","correct","reward","trial_type","alien_body_color","alien_stomach_pattern","study","age","participant"
"easier planet","Easy",0.2,0,"correct","j",848,0,1,1,"10","color","orange","solid","study2",20.2575342465753,151
NA,"Easy",0.2,1,"correct","f",910.8,0,2,1,"10","pattern","orange","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",674.6,0,3,1,"10","pattern","orange","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",845,0,4,1,"10","pattern","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",564.4,0,5,1,"10","pattern","orange","striped","study2",20.2575342465753,151
NA,"Easy",0.2,1,"correct","f",644.6,0,6,1,"10","color","blue","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",560.7,0,7,1,"10","color","orange","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",636,0,8,1,"10","color","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",761.4,0,9,1,"10","color","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",555.1,0,10,1,"10","color","orange","solid","study2",20.2575342465753,151
NA,"Easy",0.2,1,"correct","j",904,0,11,1,"10","pattern","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",709.4,0,12,1,"10","pattern","blue","striped","study2",20.2575342465753,151
NA,"Easy",0.2,1,"correct","f",512.9,0,13,1,"10","color","blue","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",408.5,0,14,1,"10","color","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",414.9,0,15,1,"10","color","orange","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",431.4,0,16,1,"10","color","orange","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",500,0,17,1,"10","color","blue","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"incorrect","j",494.9,0,18,0,"10","color","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",619.9,0,19,1,"10","color","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",535.9,0,20,1,"10","color","orange","striped","study2",20.2575342465753,151
"easier planet","Easy",0.2,0,"correct","f",717.2,0,21,1,"1","color","blue","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",657,0,22,1,"1","color","blue","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",449.5,0,23,1,"1","color","orange","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",486.1,0,24,1,"1","color","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,1,"correct","f",838.1,0,25,1,"1","pattern","orange","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",817.6,0,26,1,"1","pattern","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",738.2,0,27,1,"1","pattern","blue","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",706.7,0,28,1,"1","pattern","orange","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",807.8,0,29,1,"1","pattern","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",734,0,30,1,"1","pattern","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",751,0,31,1,"1","pattern","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,1,"correct","f",726.1,0,32,1,"1","color","blue","striped","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","f",611.2,0,33,1,"1","color","blue","solid","study2",20.2575342465753,151
NA,"Easy",0.2,0,"correct","j",633.8,0,34,1,"1","color","orange","striped","study2",20.2575342465753,151
